"","MONTH","OP_CARRIER","ORIGIN","DEP_DELAY"
"1",1,"WN","PDX",-6
"2",1,"WN","PDX",8
"3",1,"WN","PDX",1
"4",1,"WN","PDX",28
"5",1,"WN","PDX",-1
"6",1,"WN","PDX",0
"7",1,"WN","PDX",1
"8",1,"WN","PDX",37
"9",1,"WN","PDX",9
"10",1,"WN","PDX",NA
"11",1,"WN","PDX",24
"12",1,"WN","PDX",11
"13",1,"WN","PDX",-2
"14",1,"WN","PDX",25
"15",1,"WN","PDX",-3
"16",1,"WN","PDX",2
"17",1,"WN","PDX",-2
"18",1,"WN","PDX",22
"19",1,"WN","PDX",14
"20",1,"WN","PDX",-4
"21",1,"WN","PDX",-1
"22",1,"WN","PDX",32
"23",1,"WN","PDX",4
"24",1,"WN","PDX",-2
"25",1,"WN","PDX",7
"26",1,"WN","PDX",0
"27",1,"WN","PDX",-5
"28",1,"WN","PDX",-3
"29",1,"WN","PDX",30
"30",1,"WN","PDX",4
"31",1,"WN","PDX",-5
"32",1,"WN","PDX",17
"33",1,"WN","PDX",-4
"34",1,"WN","PDX",1
"35",1,"WN","PDX",-5
"36",1,"WN","PDX",-1
"37",1,"WN","PDX",-4
"38",1,"WN","PDX",-2
"39",1,"WN","PDX",0
"40",1,"WN","PDX",3
"41",1,"WN","PDX",-1
"42",1,"WN","PDX",-2
"43",1,"WN","PDX",-4
"44",1,"WN","PDX",-3
"45",1,"WN","PDX",3
"46",1,"WN","PDX",-4
"47",1,"WN","PDX",0
"48",1,"WN","PDX",37
"49",1,"WN","PDX",-2
"50",1,"WN","PDX",-3
"51",1,"WN","PDX",-3
"52",1,"WN","PDX",-1
"53",1,"WN","PDX",-3
"54",1,"WN","PDX",1
"55",1,"WN","PDX",-6
"56",1,"WN","PDX",-7
"57",1,"WN","PDX",-1
"58",1,"WN","PDX",-6
"59",1,"WN","PDX",23
"60",1,"WN","PDX",-6
"61",1,"WN","PDX",-3
"62",1,"WN","PDX",7
"63",1,"WN","PDX",-2
"64",1,"WN","PDX",5
"65",1,"WN","PDX",-3
"66",1,"WN","PDX",-7
"67",1,"WN","PDX",-3
"68",1,"WN","PDX",-5
"69",1,"WN","PDX",17
"70",1,"WN","PDX",10
"71",1,"WN","PDX",-2
"72",1,"WN","PDX",-6
"73",1,"WN","PDX",-3
"74",1,"WN","PDX",1
"75",1,"WN","PDX",-6
"76",1,"WN","PDX",-8
"77",1,"WN","PDX",-3
"78",1,"WN","PDX",-5
"79",1,"WN","PDX",-6
"80",1,"WN","PDX",11
"81",1,"WN","PDX",-6
"82",1,"WN","PDX",-5
"83",1,"WN","PDX",2
"84",1,"WN","PDX",0
"85",1,"WN","PDX",-6
"86",1,"WN","PDX",-4
"87",1,"WN","PDX",17
"88",1,"WN","PDX",-3
"89",1,"WN","PDX",-3
"90",1,"WN","PDX",-4
"91",1,"WN","PDX",-4
"92",1,"WN","PDX",-2
"93",1,"WN","PDX",-6
"94",1,"WN","PDX",6
"95",1,"WN","PDX",-5
"96",1,"WN","PDX",-7
"97",1,"WN","PDX",0
"98",1,"WN","PDX",-7
"99",1,"WN","PDX",45
"100",1,"WN","PDX",20
"101",1,"WN","PDX",-3
"102",1,"WN","PDX",-3
"103",1,"WN","PDX",-1
"104",1,"WN","PDX",3
"105",1,"WN","PDX",3
"106",1,"WN","PDX",-1
"107",1,"WN","PDX",3
"108",1,"WN","PDX",2
"109",1,"WN","PDX",3
"110",1,"WN","PDX",-4
"111",1,"WN","PDX",-9
"112",1,"WN","PDX",-3
"113",1,"WN","PDX",-1
"114",1,"WN","PDX",31
"115",1,"WN","PDX",-3
"116",1,"WN","PDX",10
"117",1,"WN","PDX",15
"118",1,"WN","PDX",16
"119",1,"WN","PDX",0
"120",1,"WN","PDX",-1
"121",1,"WN","PDX",-5
"122",1,"WN","PDX",-2
"123",1,"WN","PDX",0
"124",1,"WN","PDX",-1
"125",1,"WN","PDX",-5
"126",1,"WN","PDX",-6
"127",1,"WN","PDX",18
"128",1,"WN","PDX",-2
"129",1,"WN","PDX",8
"130",1,"WN","PDX",3
"131",1,"WN","PDX",-5
